---Example Data---
NASDAQ 100,Last: 11706.4395,Change:  143.1395
"Date: December 12, 2022 at 8:31 PM EST",Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Dec 12 2022,NDXP221212C11280000,0,0,402,451,0,0.02,0,0,0,11280.00,NDXP221212P11280000,2.15,0,0,0.55,0,1.5955,0,0,2
Mon Dec 12 2022,NDXP221212C11290000,0,0,400,422,0,0.02,0,0,0,11290.00,NDXP221212P11290000,1.77,-1.18,0,0.55,3,1.5309,0,0,2
Mon Dec 12 2022,NDXP221212C11300000,332.86,0,396,417,0,0.02,0,0,30,11300.00,NDXP221212P11300000,0.28,-3.12,0,0.05,35,1.206,0,0,28
Mon Dec 12 2022,NDXP221212C11310000,0,0,386,407,0,0.02,0,0,0,11310.00,NDXP221212P11310000,1.89,-1.81,0,0.55,2,1.4931,0,0,2
Mon Dec 12 2022,NDXP221212C11320000,0,0,376,397,0,0.02,0,0,0,11320.00,NDXP221212P11320000,0.48,-3.62,0,0.55,8,1.4596,0,0,2
Mon Dec 12 2022,NDXP221212C11325000,0,0,371,392,0,0.02,0,0,0,11325.00,NDXP221212P11325000,0.95,-3.45,0,0.05,3,1.1246,0,0,7
Mon Dec 12 2022,NDXP221212C11330000,0,0,366,387,0,0.02,0,0,0,11330.00,NDXP221212P11330000,0.38,-4.17,0,0.55,7,1.4241,0,0,1
Mon Dec 12 2022,NDXP221212C11340000,0,0,356,377,0,0.02,0,0,0,11340.00,NDXP221212P11340000,0.21,-4.94,0,0.55,40,1.3907,0,0,0
Mon Dec 12 2022,NDXP221212C11350000,0,0,346,367,0,0.02,0,0,0,11350.00,NDXP221212P11350000,0.25,-5.5,0,0.05,52,1.0592,0,0,17
Mon Dec 12 2022,NDXP221212C11360000,0,0,336,357,0,0.02,0,0,0,11360.00,NDXP221212P11360000,1.55,-4.85,0,0.55,23,1.3231,0,0,1
Mon Dec 12 2022,NDXP221212C11370000,0,0,326,347,0,0.02,0,0,0,11370.00,NDXP221212P11370000,0.95,-6.2,0,0.55,5,1.2883,0,0,1
Mon Dec 12 2022,NDXP221212C11375000,0,0,321,342,0,0.02,0,0,0,11375.00,NDXP221212P11375000,0.97,-6.58,0,0.05,45,0.9909,0,0,16
Mon Dec 12 2022,NDXP221212C11380000,0,0,316,337,0,0.02,0,0,0,11380.00,NDXP221212P11380000,0.2,-7.75,0,0.05,34,0.9785,0,0,2
Mon Dec 12 2022,NDXP221212C11390000,0,0,306,327,0,0.02,0,0,0,11390.00,NDXP221212P11390000,0.21,-8.64,0,0.55,40,1.2084,0,0,3
Mon Dec 12 2022,NDXP221212C11400000,181.08,-24.57,296,317,2,0.02,0,0,37,11400.00,NDXP221212P11400000,0.15,-9.3,0,0.45,58,1.136,0,0,36
Mon Dec 12 2022,NDXP221212C11410000,0,0,286,307,0,0.02,0,0,0,11410.00,NDXP221212P11410000,0.18,-10.82,0,0.55,131,1.1508,0,0,2
Mon Dec 12 2022,NDXP221212C11420000,0,0,276,297,0,0.02,0,0,0,11420.00,NDXP221212P11420000,0.05,-12.2,0,0.05,148,0.8656,0,0,12
Mon Dec 12 2022,NDXP221212C11425000,157.9,-25.9,271,292,2,0.02,0,0,2,11425.00,NDXP221212P11425000,0.13,-12.82,0,0.05,160,1.0875,0,0,15
Mon Dec 12 2022,NDXP221212C11430000,0,0,266,287,0,0.02,0,0,0,11430.00,NDXP221212P11430000,0.3,-13.35,0,0.05,118,1.0806,0,0,6
Mon Dec 12 2022,NDXP221212C11440000,0,0,256,277,0,0.02,0,0,0,11440.00,NDXP221212P11440000,0.33,-14.82,0,0.55,133,1.0461,0,0,5
Mon Dec 12 2022,NDXP221212C11450000,111.76,-50.59,246,267,5,0.02,0,0,3,11450.00,NDXP221212P11450000,0.16,-16.64,0,0.55,93,1.0119,0,0,76
Mon Dec 12 2022,NDXP221212C11460000,103.35,-51.15,236,257,1,0.02,0,0,0,11460.00,NDXP221212P11460000,0.57,-17.93,0,0.55,94,0.9761,0,0,6
Mon Dec 12 2022,NDXP221212C11470000,0,0,226,247,0,0.02,0,0,0,11470.00,NDXP221212P11470000,0.57,-20.13,0,0.55,112,0.941,0,0,7
Mon Dec 12 2022,NDXP221212C11475000,0,0,221,242,0,0.02,0,0,0,11475.00,NDXP221212P11475000,0.25,-21.5,0,0.2,102,0.8074,0,0,4
Mon Dec 12 2022,NDXP221212C11480000,131.45,0,216,237,0,0.02,0,0,0,11480.00,NDXP221212P11480000,0.3,-22.55,0,0.55,149,0.9059,0,0,29
